STANDARD,DATA_RATE,BANDWIDTH,SPATIAL_STREAMS,IEEE_SPEC,XB141_SPEC,CUS223_SPEC,EERO_SPEC,DELTA_EERO_IEEE
802.11ag,OFDM-6,20,1,-82,-94,-94,-92,-10
802.11ag,OFDM-9,20,1,-81,,,-90,-9
802.11ag,OFDM-12,20,1,-79,,,-87,-8
802.11ag,OFDM-18,20,1,-77,,,-85,-8
802.11ag,OFDM-24,20,1,-74,,,-83,-9
802.11ag,OFDM-36,20,1,-70,,,-81,-11
802.11ag,OFDM-48,20,1,-66,,,-78,-12
802.11ag,OFDM-54,20,1,-65,-80,-78,-76,-11
802.11n,MCS0,20,1,-82,-94,-94,-92,-10
802.11n,MCS1,20,1,-79,,,-89,-10
802.11n,MCS2,20,1,-77,,,-87,-10
802.11n,MCS3,20,1,-74,,,-84,-10
802.11n,MCS4,20,1,-70,,,-82,-12
802.11n,MCS5,20,1,-66,,,-79,-13
802.11n,MCS6,20,1,-65,,,-77,-12
802.11n,MCS7,20,1,-64,-78,-76,-74,-10
802.11n,MCS8,20,2,-82,-94,-92,-90,-8
802.11n,MCS9,20,2,-79,,,-87,-8
802.11n,MCS10,20,2,-77,,,-84,-7
802.11n,MCS11,20,2,-74,,,-81,-7
802.11n,MCS12,20,2,-70,,,-79,-9
802.11n,MCS13,20,2,-66,,,-76,-10
802.11n,MCS14,20,2,-65,,,-73,-8
802.11n,MCS15,20,2,-64,-74,-72,-70,-6
802.11n,MCS0,40,1,-79,-92,-92,-90,-11
802.11n,MCS1,40,1,-76,,,-87,-11
802.11n,MCS2,40,1,-74,,,-84,-10
802.11n,MCS3,40,1,-71,,,-81,-10
802.11n,MCS4,40,1,-67,,,-79,-12
802.11n,MCS5,40,1,-63,,,-76,-13
802.11n,MCS6,40,1,-62,,,-73,-11
802.11n,MCS7,40,1,-61,-72,-72,-70,-9
802.11n,MCS8,40,2,-79,-90,-90,-88,-9
802.11n,MCS9,40,2,-76,,,-85,-9
802.11n,MCS10,40,2,-74,,,-82,-8
802.11n,MCS11,40,2,-71,,,-79,-8
802.11n,MCS12,40,2,-67,,,-77,-10
802.11n,MCS13,40,2,-63,,,-74,-11
802.11n,MCS14,40,2,-62,,,-71,-9
802.11n,MCS15,40,2,-61,-72,-70,-68,-7
802.11ac,MCS0,20,1,-82,,-94,-92,-10
802.11ac,MCS1,20,1,-79,,,-89,-10
802.11ac,MCS2,20,1,-77,,,-87,-10
802.11ac,MCS3,20,1,-74,,,-84,-10
802.11ac,MCS4,20,1,-70,,,-81,-11
802.11ac,MCS5,20,1,-66,,,-78,-12
802.11ac,MCS6,20,1,-65,,,-76,-11
802.11ac,MCS7,20,1,-64,,,-73,-9
802.11ac,MCS8,20,1,-59,,-72,-70,-11
802.11ac,MCS0,20,2,-82,,-92,-90,-8
802.11ac,MCS1,20,2,-79,,,-87,-8
802.11ac,MCS2,20,2,-77,,,-84,-7
802.11ac,MCS3,20,2,-74,,,-80,-6
802.11ac,MCS4,20,2,-70,,,-77,-7
802.11ac,MCS5,20,2,-66,,,-74,-8
802.11ac,MCS6,20,2,-65,,,-71,-6
802.11ac,MCS7,20,2,-64,,,-67,-3
802.11ac,MCS8,20,2,-59,,-66,-64,-5
802.11ac,MCS0,40,1,-79,,-92,-90,-11
802.11ac,MCS1,40,1,-76,,,-87,-11
802.11ac,MCS2,40,1,-74,,,-84,-10
802.11ac,MCS3,40,1,-71,,,-81,-10
802.11ac,MCS4,40,1,-67,,,-78,-11
802.11ac,MCS5,40,1,-63,,,-76,-13
802.11ac,MCS6,40,1,-62,,,-73,-11
802.11ac,MCS7,40,1,-61,,,-70,-9
802.11ac,MCS8,40,1,-56,,,-67,-11
802.11ac,MCS9,40,1,-54,,-66,-64,-10
802.11ac,MCS0,40,2,-79,,-88,-86,-7
802.11ac,MCS1,40,2,-76,,,-83,-7
802.11ac,MCS2,40,2,-74,,,-80,-6
802.11ac,MCS3,40,2,-71,,,-77,-6
802.11ac,MCS4,40,2,-67,,,-74,-7
802.11ac,MCS5,40,2,-63,,,-72,-9
802.11ac,MCS6,40,2,-62,,,-69,-7
802.11ac,MCS7,40,2,-61,,,-66,-5
802.11ac,MCS8,40,2,-56,,,-63,-7
802.11ac,MCS9,40,2,-54,,-62,-60,-6
802.11ac,MCS0,80,1,-76,,-88,-86,-10
802.11ac,MCS1,80,1,-73,,,-83,-10
802.11ac,MCS2,80,1,-71,,,-81,-10
802.11ac,MCS3,80,1,-68,,,-78,-10
802.11ac,MCS4,80,1,-64,,,-75,-11
802.11ac,MCS5,80,1,-60,,,-73,-13
802.11ac,MCS6,80,1,-59,,,-70,-11
802.11ac,MCS7,80,1,-58,,,-67,-9
802.11ac,MCS8,80,1,-53,,,-65,-12
802.11ac,MCS9,80,1,-51,,-64,-62,-11
802.11ac,MCS0,80,2,-76,,-86,-84,-8
802.11ac,MCS1,80,2,-73,,,-81,-8
802.11ac,MCS2,80,2,-71,,,-78,-7
802.11ac,MCS3,80,2,-68,,,-75,-7
802.11ac,MCS4,80,2,-64,,,-72,-8
802.11ac,MCS5,80,2,-60,,,-70,-10
802.11ac,MCS6,80,2,-59,,,-67,-8
802.11ac,MCS7,80,2,-58,,,-64,-6
802.11ac,MCS8,80,2,-53,,,-61,-8
802.11ac,MCS9,80,2,-51,,-60,-58,-7
