STANDARD,BANDWIDTH,BAND,FREQUENCY_OFFSET,IEEE_SPEC
802.11b,20,2.4GHz,11,0
802.11b,20,2.4GHz,22,-30
802.11b,20,2.4GHz,>22,-50
802.11ag,20,2.4GHz,9,0
802.11ag,20,2.4GHz,11,-20
802.11ag,20,2.4GHz,20,-28
802.11ag,20,2.4GHz,30,-40
802.11n,20,2.4GHz,9,0
802.11n,20,2.4GHz,11,-20
802.11n,20,2.4GHz,20,-28
802.11n,20,2.4GHz,30,-45
802.11n,40,2.4GHz,19,0
802.11n,40,2.4GHz,21,-20
802.11n,40,2.4GHz,40,-28
802.11n,40,2.4GHz,60,-45
802.11n,20,5GHz,9,0
802.11n,20,5GHz,11,-20
802.11n,20,5GHz,20,-28
802.11n,20,5GHz,30,-40
802.11n,40,5GHz,19,0
802.11n,40,5GHz,21,-20
802.11n,40,5GHz,40,-28
802.11n,40,5GHz,60,-40
802.11ac,20,5GHz,9,0
802.11ac,20,5GHz,11,-20
802.11ac,20,5GHz,20,-28
802.11ac,20,5GHz,30,-40
802.11ac,40,5GHz,19,0
802.11ac,40,5GHz,21,-20
802.11ac,40,5GHz,40,-28
802.11ac,40,5GHz,60,-40
802.11ac,80,5GHz,39,0
802.11ac,80,5GHz,41,-20
802.11ac,80,5GHz,80,-28
802.11ac,80,5GHz,120,-40
