STANDARD,DATA_RATE,IEEE_SPEC,EERO_SPEC
802.11b,2L,35,33
802.11b,2S,35,33
802.11b,11L,35,33
802.11b,11S,35,33
802.11ag,OFDM-6,16,14
802.11ag,OFDM-9,15,13
802.11ag,OFDM-12,13,11
802.11ag,OFDM-18,11,9
802.11ag,OFDM-24,8,6
802.11ag,OFDM-36,4,2
802.11ag,OFDM-48,0,-2
802.11ag,OFDM-54,-1,-3
802.11n,MCS0,16,14
802.11n,MCS1,13,11
802.11n,MCS2,11,9
802.11n,MCS3,8,6
802.11n,MCS4,4,2
802.11n,MCS5,0,-2
802.11n,MCS6,-1,-3
802.11n,MCS7,-2,-4
802.11n,MCS8,16,14
802.11n,MCS9,13,11
802.11n,MCS10,11,9
802.11n,MCS11,8,6
802.11n,MCS12,4,2
802.11n,MCS13,0,-2
802.11n,MCS14,-1,-3
802.11n,MCS15,-2,-4
802.11ac,MCS0,16,14
802.11ac,MCS1,13,11
802.11ac,MCS2,11,9
802.11ac,MCS3,8,6
802.11ac,MCS4,4,2
802.11ac,MCS5,0,-2
802.11ac,MCS6,-1,-3
802.11ac,MCS7,-2,-4
802.11ac,MCS8,-7,-9
802.11ac,MCS9,-9,-11
