STANDARD,DATA_RATE,BANDWIDTH,EVM_LIMIT,EERO_TARGET_POWER
802.11ag,OFDM-6,20,-5,24
802.11ag,OFDM-9,20,-8,23.3
802.11ag,OFDM-12,20,-10,22.8
802.11ag,OFDM-18,20,-13,22.3
802.11ag,OFDM-24,20,-16,21.8
802.11ag,OFDM-36,20,-19,21.3
802.11ag,OFDM-48,20,-22,20.8
802.11ag,OFDM-54,20,-25,20.3
802.11n,MCS0,20,-5,24
802.11n,MCS1,20,-10,23.3
802.11n,MCS2,20,-13,22.8
802.11n,MCS3,20,-16,22.3
802.11n,MCS4,20,-19,21.8
802.11n,MCS5,20,-22,21.3
802.11n,MCS6,20,-25,20.8
802.11n,MCS7,20,-27,20.3
802.11n,MCS8,20,-5,24
802.11n,MCS9,20,-10,23.3
802.11n,MCS10,20,-13,22.8
802.11n,MCS11,20,-16,22.3
802.11n,MCS12,20,-19,21.8
802.11n,MCS13,20,-22,21.3
802.11n,MCS14,20,-25,20.8
802.11n,MCS15,20,-27,20.3
802.11n,MCS0,40,-5,23
802.11n,MCS1,40,-10,23.3
802.11n,MCS2,40,-13,22.8
802.11n,MCS3,40,-16,22.3
802.11n,MCS4,40,-19,21.8
802.11n,MCS5,40,-22,21.3
802.11n,MCS6,40,-25,20.8
802.11n,MCS7,40,-27,20.3
802.11n,MCS8,40,-5,23
802.11n,MCS9,40,-10,23.3
802.11n,MCS10,40,-13,22.8
802.11n,MCS11,40,-16,22.3
802.11n,MCS12,40,-19,21.8
802.11n,MCS13,40,-22,21.3
802.11n,MCS14,40,-25,20.8
802.11n,MCS15,40,-27,20.3
802.11ac,MCS0,20,-5,24
802.11ac,MCS1,20,-10,23.3
802.11ac,MCS2,20,-13,22.8
802.11ac,MCS3,20,-16,22.3
802.11ac,MCS4,20,-19,21.8
802.11ac,MCS5,20,-22,21.3
802.11ac,MCS6,20,-25,20.8
802.11ac,MCS7,20,-27,20.3
802.11ac,MCS8,20,-30,19.9
802.11ac,MCS0,40,-5,23
802.11ac,MCS1,40,-10,23.3
802.11ac,MCS2,40,-13,22.8
802.11ac,MCS3,40,-16,22.3
802.11ac,MCS4,40,-19,21.8
802.11ac,MCS5,40,-22,21.3
802.11ac,MCS6,40,-25,20.8
802.11ac,MCS7,40,-27,20.3
802.11ac,MCS8,40,-30,19.9
802.11ac,MCS9,40,-32,19.5
802.11ac,MCS0,80,-5,22.4
802.11ac,MCS1,80,-10,22
802.11ac,MCS2,80,-13,21.6
802.11ac,MCS3,80,-16,21.2
802.11ac,MCS4,80,-19,20.8
802.11ac,MCS5,80,-22,20.4
802.11ac,MCS6,80,-25,20
802.11ac,MCS7,80,-27,19.6
802.11ac,MCS8,80,-30,19.2
802.11ac,MCS9,80,-32,18.8
